Date,Open,High,Low,Close,Adj Close,Volume
2020-09-08,0.728040,0.730830,0.721880,0.728100,0.728100,0
2020-09-09,0.720970,0.728100,0.720650,0.720940,0.720940,0
2020-09-10,0.727802,0.732440,0.726280,0.727660,0.727660,0
2020-09-11,0.726430,0.730780,0.725980,0.726300,0.726300,0
2020-09-14,0.728390,0.730620,0.726490,0.728152,0.728152,0
2020-09-15,0.728120,0.734484,0.726800,0.728600,0.728600,0
2020-09-16,0.729512,0.734600,0.729038,0.729682,0.729682,0
2020-09-17,0.729640,0.731422,0.725580,0.729550,0.729550,0
2020-09-18,0.731790,0.733310,0.728350,0.731310,0.731310,0
2020-09-21,0.729389,0.732600,0.720060,0.729341,0.729341,0
2020-09-22,0.722830,0.723700,0.716590,0.723118,0.723118,0
2020-09-23,0.717412,0.717721,0.708828,0.717443,0.717443,0
2020-09-24,0.707100,0.708215,0.701769,0.706900,0.706900,0
2020-09-25,0.705632,0.708900,0.700700,0.705716,0.705716,0
2020-09-28,0.704325,0.707500,0.703339,0.704191,0.704191,0
2020-09-29,0.709623,0.713800,0.707510,0.709520,0.709520,0
2020-09-30,0.714580,0.717200,0.710050,0.714360,0.714360,0
2020-10-01,0.716750,0.721000,0.715590,0.716651,0.716651,0
2020-10-02,0.718112,0.718600,0.713460,0.718288,0.718288,0
2020-10-05,0.717401,0.719424,0.716380,0.717721,0.717721,0
2020-10-06,0.719130,0.720871,0.714600,0.719321,0.719321,0
2020-10-07,0.711040,0.715160,0.709930,0.711010,0.711010,0
2020-10-08,0.713725,0.717020,0.712428,0.713820,0.713820,0
2020-10-09,0.717520,0.724200,0.716969,0.717800,0.717800,0
2020-10-12,0.722309,0.723798,0.720620,0.722460,0.722460,0
2020-10-13,0.720918,0.720918,0.715733,0.721188,0.721188,0
2020-10-14,0.716700,0.719200,0.715580,0.716440,0.716440,0
2020-10-15,0.714260,0.714800,0.705650,0.714148,0.714148,0
2020-10-16,0.708730,0.709824,0.707110,0.708840,0.708840,0
2020-10-19,0.709400,0.711794,0.708420,0.709600,0.709600,0
2020-10-20,0.705360,0.706015,0.702120,0.705617,0.705617,0
2020-10-21,0.705119,0.712800,0.705119,0.705000,0.705000,0
2020-10-22,0.710400,0.711800,0.708700,0.710560,0.710560,0
2020-10-23,0.712710,0.715800,0.710160,0.712610,0.712610,0
2020-10-26,0.713140,0.714700,0.710470,0.713201,0.713201,0
2020-10-27,0.712012,0.714500,0.711810,0.711710,0.711710,0
2020-10-28,0.712200,0.715717,0.703970,0.712310,0.712310,0
2020-10-29,0.705540,0.707914,0.700460,0.705520,0.705520,0
2020-10-30,0.703640,0.707090,0.701218,0.703760,0.703760,0
2020-11-02,0.700972,0.705400,0.699340,0.700820,0.700820,0
2020-11-03,0.705500,0.717412,0.702948,0.705370,0.705370,0
2020-11-04,0.719710,0.721600,0.705120,0.719683,0.719683,0
2020-11-05,0.717600,0.727530,0.714680,0.718050,0.718050,0
2020-11-06,0.726232,0.728790,0.724090,0.726270,0.726270,0
2020-11-09,0.728900,0.733960,0.726829,0.728672,0.728672,0
2020-11-10,0.727760,0.729600,0.725358,0.728200,0.728200,0
2020-11-11,0.728360,0.731775,0.726180,0.728170,0.728170,0
2020-11-12,0.728310,0.729411,0.724800,0.728428,0.728428,0
2020-11-13,0.724160,0.726360,0.722240,0.724019,0.724019,0
2020-11-16,0.728741,0.732600,0.728090,0.729081,0.729081,0
2020-11-17,0.731989,0.733999,0.728960,0.732100,0.732100,0
2020-11-18,0.729620,0.732900,0.727340,0.729600,0.729600,0
2020-11-19,0.729600,0.730018,0.725550,0.730199,0.730199,0
2020-11-20,0.727130,0.732500,0.727130,0.726910,0.726910,0
2020-11-23,0.731261,0.733800,0.726660,0.731700,0.731700,0
2020-11-24,0.729530,0.736900,0.729210,0.729820,0.729820,0
2020-11-25,0.736590,0.737400,0.732590,0.736670,0.736670,0
2020-11-26,0.736594,0.737600,0.735430,0.736485,0.736485,0
2020-11-27,0.735610,0.739919,0.735310,0.735800,0.735800,0
2020-11-30,0.740132,0.741000,0.734900,0.740028,0.740028,0
2020-12-01,0.735971,0.737240,0.734360,0.735680,0.735680,0
2020-12-02,0.737980,0.739660,0.735240,0.738089,0.738089,0
2020-12-03,0.741390,0.744850,0.739847,0.741800,0.741800,0
2020-12-04,0.744200,0.744400,0.741300,0.743900,0.743900,0
2020-12-07,0.743108,0.745110,0.737310,0.743157,0.743157,0
2020-12-08,0.741785,0.743700,0.740070,0.741760,0.741760,0
2020-12-09,0.741200,0.748727,0.740920,0.741100,0.741100,0
2020-12-10,0.743410,0.752700,0.743410,0.743500,0.743500,0
2020-12-11,0.752502,0.757002,0.752070,0.752440,0.752440,0
2020-12-14,0.755030,0.757830,0.752900,0.755110,0.755110,0
2020-12-15,0.753510,0.755700,0.750790,0.753920,0.753920,0
2020-12-16,0.755690,0.758100,0.754683,0.755561,0.755561,0
2020-12-17,0.757111,0.763919,0.756980,0.757000,0.757000,0
2020-12-18,0.761429,0.762021,0.758310,0.761530,0.761530,0
2020-12-21,0.758771,0.760248,0.746369,0.758743,0.758743,0
2020-12-22,0.757540,0.758400,0.751820,0.757520,0.757520,0
2020-12-23,0.754990,0.758950,0.752610,0.755170,0.755170,0
2020-12-24,0.758140,0.760640,0.757960,0.757960,0.757960,0
2020-12-25,0.760680,0.766220,0.757900,0.760680,0.760680,0
2020-12-28,0.761348,0.762400,0.755960,0.761191,0.761191,0
2020-12-29,0.758858,0.762500,0.758478,0.758892,0.758892,0
2020-12-30,0.761200,0.768622,0.760720,0.760990,0.760990,0
2020-12-31,0.768900,0.774140,0.768690,0.768929,0.768929,0
2021-01-01,0.777180,0.820760,0.769823,0.770297,0.770297,0
